sample_id,parameter,parameter_raw,value,unit,uncertainty,below_limit,loq
p09-MOA-004,BaP,Benzo(a)pyren,0.01,mg/kg,,True,0.01
p09-MOA-004,DahA,Dibenzo(ah)antracen,0.01,mg/kg,,True,0.01
p09-MOA-004,BghiP,Benzo(ghi)perylen,0.01,mg/kg,,True,0.01
p09-MOA-004,PAH16,Sum PAH-16,0.027,mg/kg,,False,
p09-MOA-004,Benzene,Benzen,0.005,mg/kg,,True,0.005
p09-MOA-004,Toluene,Toluen,0.1,mg/kg,,True,0.1
p09-MOA-004,Ethylbenzene,Etylbensen,0.02,mg/kg,,True,0.02
p09-MOA-004,Xylene,Xylener,0.015,mg/kg,,True,0.015
p09-MOA-004,BTEX,Sum BTEX,0.0,mg/kg,,True,
p09-MOA-004,THC_C5-C6,Fraksjon >C5-C6,7.0,mg/kg,,True,7.0
p09-MOA-004,THC_C6-C8,Fraksjon >C6-C8,7.0,mg/kg,,True,7.0
p09-MOA-004,THC_C8-C10,Fraksjon >C8-C10,10.0,mg/kg,,True,10.0
p09-MOA-004,THC_C10-C12,Fraksjon >C10-C12,2.0,mg/kg,,True,2.0
p09-MOA-004,THC_C12-C16,Fraksjon >C12-C16,6.9,mg/kg,2.1,False,
p09-MOA-004,Cr_VI,Cr6+,0.085,mg/kg,0.02,False,
p09-MOA-004,Benzene,Benzen,0.01,mg/kg,,True,0.01
p09-MOA-004,THC_C16-C35,Fraksjon >C16-C35,613.0,mg/kg,184.0,False,
