sample_name,included,matches_filter,order_number,sample_date,description
Matrise 29/1,No,No,NO2502066,2025-01-29,Test kilde benzen
Matrise Blanding,No,No,NO2500903,2025-01-15,
N10 Blanding,No,No,NO2500903,2025-01-15,
N10 blanding 24t,No,No,NO2501013,2025-01-16,
Nedgravd VL 8735,No,No,NO2502456,2025-01-30,Bunnrensk med benzen
OFM,No,No,NO2404327,2024-02-29,Utskiftede masser etter lite oljesøl
OST 2,No,No,NO2326608,2023-11-30,2 blandprøver fra tverrsnittet- Østgående løp
OST 2 Kolonnetest,No,No,NO2326608,2023-11-30,L/S=1.0
OST 2 Ristetest,No,No,NO2326608,2023-11-30,
Oljesøl HVXA 46,No,No,NO2300120,2023-01-03,Vanlig hydraulikkolje til tunnelrigg
Oljesøl HVXA 46 - 1 år,No,No,NO2327964,2023-12-14,Vanlig hydraulikkolje til tunnelrigg
Oljesøl HVXA 46 - 2 mnd,No,No,NO2303604,2023-02-20,Vanlig hydraulikkolje til tunnelrigg
Oljesøl HVXA 46 - 6 mnd,No,No,NO2313822,2023-06-28,Vanlig hydraulikkolje til tunnelrigg
Oljesøl bio,No,No,NO2300120,2023-01-03,Biohydraulikkolje
Oljesøl bio - 1 år,No,No,NO2327964,2023-12-14,Biohydraulikkolje
Oljesøl bio - 2mnd,No,No,NO2303604,2023-02-20,Biohydraulikkolje
Oljesøl bio - 6 mnd,No,No,NO2313822,2023-06-28,Biohydraulikkolje
P1-L1,No,No,NO2516985,2025-07-07,"Freset asfalt fra 1970, som skal sjekkes for tjære før deponering."
P1-L2,No,No,NO2516986,2025-07-07,Gamle steinmasser som kan være forurenset av biltrafikk.
P1-L3,No,No,NO2516986,2025-07-07,Gamle steinmasser som kan være forurenset av biltrafikk.
P2-L1,No,No,NO2516985,2025-07-07,"Freset asfalt fra 1970, som skal sjekkes for tjære før deponering."
P2-L2,No,No,NO2516986,2025-07-07,Gamle steinmasser som kan være forurenset av biltrafikk.
P2-L3,No,No,NO2516986,2025-07-07,Gamle steinmasser som kan være forurenset av biltrafikk.
P3-L1,No,No,NO2516985,2025-07-07,"Freset asfalt fra 1970, som skal sjekkes for tjære før deponering."
P3-L2,No,No,NO2516986,2025-07-07,Gamle steinmasser som kan være forurenset av biltrafikk.
