project_code,inbox_path,filename,extension,size_kb,parent_folder
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\15 des\Vannmiljo_EUNOMO-00359293 - 2 av 2 - 20230120 1137.xlsx,Vannmiljo_EUNOMO-00359293 - 2 av 2 - 20230120 1137.xlsx,.xlsx,33,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\15 des
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\knust prøve nov 22\EUNOMO-00355858_10625-18501844 - 1 av 1 - 20221123 1758 (002).pdf,EUNOMO-00355858_10625-18501844 - 1 av 1 - 20221123 1758 (002).pdf,.pdf,75,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\knust prøve nov 22
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\knust prøve nov 22\EUNOMO-00356367 - 1 av 1 - 20221129 md merking.xlsx,EUNOMO-00356367 - 1 av 1 - 20221129 md merking.xlsx,.xlsx,25,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\knust prøve nov 22
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\knust prøve nov 22\EUNOMO-00356367_10625-18501844 - 1 av 1 - 20221129 1446.pdf,EUNOMO-00356367_10625-18501844 - 1 av 1 - 20221129 1446.pdf,.pdf,93,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\knust prøve nov 22
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\knust prøve nov 22\EUNOMO-00356388_10625-18501844 - 1 av 1 - 20221209 1133.pdf,EUNOMO-00356388_10625-18501844 - 1 av 1 - 20221209 1133.pdf,.pdf,75,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\knust prøve nov 22
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\knust prøve nov 22\ExcelReport_EUNOMO-00356367 - 1 av 1 - 20221129 1445.xlsx,ExcelReport_EUNOMO-00356367 - 1 av 1 - 20221129 1445.xlsx,.xlsx,28,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\knust prøve nov 22
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\knust prøve nov 22\ExcelReport_EUNOMO-00356388 - 1 av 1 - 20221209 1133.xlsx,ExcelReport_EUNOMO-00356388 - 1 av 1 - 20221209 1133.xlsx,.xlsx,23,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\knust prøve nov 22
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\knust prøve nov 22\Vannmiljo_EUNOMO-00356367 - 1 av 1 - 20221129 1445.xlsx,Vannmiljo_EUNOMO-00356367 - 1 av 1 - 20221129 1445.xlsx,.xlsx,29,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\knust prøve nov 22
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\knust prøve nov 22\Vannmiljo_EUNOMO-00356388 - 1 av 1 - 20221209 1133.xlsx,Vannmiljo_EUNOMO-00356388 - 1 av 1 - 20221209 1133.xlsx,.xlsx,23,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\knust prøve nov 22
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\sikta prøve 2022_nov 24 tatt 17 nov\EUNOMO-00356531 - 1 av 1 - 20221209 1133_merking.xlsx,EUNOMO-00356531 - 1 av 1 - 20221209 1133_merking.xlsx,.xlsx,28,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\sikta prøve 2022_nov 24 tatt 17 nov
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\sikta prøve 2022_nov 24 tatt 17 nov\EUNOMO-00356531_10625-18  501844 - 1 av 1 - 20221209 1133.pdf,EUNOMO-00356531_10625-18  501844 - 1 av 1 - 20221209 1133.pdf,.pdf,97,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\sikta prøve 2022_nov 24 tatt 17 nov
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\sikta prøve 2022_nov 24 tatt 17 nov\ExcelReport_EUNOMO-00356531 - 1 av 1 - 20221209 1133.xlsx,ExcelReport_EUNOMO-00356531 - 1 av 1 - 20221209 1133.xlsx,.xlsx,29,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\sikta prøve 2022_nov 24 tatt 17 nov
