sample_id,parameter,parameter_raw,value,unit,uncertainty,below_limit,loq,analysis_type,source_file
p01-BR-HØ-8580,Cu,Kopper,34.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8580,Hg,Kvikksølv,0.011,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8580,Ni,Nikkel,93.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8580,Pb,Bly,13.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8580,Zn,Sink,57.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8580,PCB7,Sum PCB7,0.007,mg/kg,,True,0.007,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8580,BaP,Benso(a)pyren^,0.01,mg/kg,,True,0.01,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8580,PAH16,Sum PAH-16,0.059,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8580,Benzen,Benzen,0.04,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8580,Toluen,Toluen*,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8580,Etylbenzen,Etylbenzen *,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8580,Xylen,Xylener *,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8580,Alifater C8-C10,Alifater >C8-C10,2.0,mg/kg,,True,2.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8580,Alifater C10-C12,Alifater >C10-C12,5.0,mg/kg,,True,5.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8580,Alifater C12-C35,Sum alifater > C12-C35,25.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8650,As,Arsen,5.9,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8650,Cd,Kadmium,0.02,mg/kg,,True,0.02,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8650,Cr,Krom,63.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8650,Cu,Kopper,35.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8650,Hg,Kvikksølv,0.01,mg/kg,,True,0.01,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8650,Ni,Nikkel,91.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8650,Pb,Bly,13.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8650,Zn,Sink,55.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8650,PCB7,Sum PCB7,0.007,mg/kg,,True,0.007,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8650,BaP,Benso(a)pyren^,0.01,mg/kg,,True,0.01,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8650,PAH16,Sum PAH-16,0.071,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8650,Benzen,Benzen,0.044,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8650,Toluen,Toluen*,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8650,Etylbenzen,Etylbenzen *,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8650,Xylen,Xylener *,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8650,Alifater C8-C10,Alifater >C8-C10,2.0,mg/kg,,True,2.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8650,Alifater C10-C12,Alifater >C10-C12,5.0,mg/kg,,True,5.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8650,Alifater C12-C35,Sum alifater > C12-C35,10.0,mg/kg,,True,10.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8700,As,Arsen,5.9,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8700,Cd,Kadmium,0.066,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8700,Cr,Krom,96.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8700,Cu,Kopper,28.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8700,Hg,Kvikksølv,0.01,mg/kg,,True,0.01,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8700,Ni,Nikkel,130.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8700,Pb,Bly,8.4,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8700,Zn,Sink,68.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8700,PCB7,Sum PCB7,0.007,mg/kg,,True,0.007,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8700,BaP,Benso(a)pyren^,0.01,mg/kg,,True,0.01,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8700,PAH16,Sum PAH-16,0.16,mg/kg,,True,0.16,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8700,Benzen,Benzen,0.093,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8700,Toluen,Toluen*,0.067,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8700,Etylbenzen,Etylbenzen *,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8700,Xylen,Xylener *,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8700,Alifater C8-C10,Alifater >C8-C10,2.0,mg/kg,,True,2.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8700,Alifater C10-C12,Alifater >C10-C12,5.0,mg/kg,,True,5.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8700,Alifater C12-C35,Sum alifater > C12-C35,13.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8735,As,Arsen,7.8,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8735,Cd,Kadmium,0.094,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8735,Cr,Krom,71.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8735,Cu,Kopper,29.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8735,Hg,Kvikksølv,0.01,mg/kg,,True,0.01,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8735,Ni,Nikkel,110.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8735,Pb,Bly,9.4,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8735,Zn,Sink,72.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8735,PCB7,Sum PCB7,0.007,mg/kg,,True,0.007,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8735,BaP,Benso(a)pyren^,0.01,mg/kg,,True,0.01,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8735,PAH16,Sum PAH-16,0.16,mg/kg,,True,0.16,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8735,Benzen,Benzen,0.2,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8735,Toluen,Toluen*,0.083,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8735,Etylbenzen,Etylbenzen *,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8735,Xylen,Xylener *,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8735,Alifater C8-C10,Alifater >C8-C10,2.0,mg/kg,,True,2.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8735,Alifater C10-C12,Alifater >C10-C12,5.0,mg/kg,,True,5.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8735,Alifater C12-C35,Sum alifater > C12-C35,12.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8800,As,Arsen,6.8,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8800,Cd,Kadmium,0.097,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8800,Cr,Krom,75.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8800,Cu,Kopper,33.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8800,Hg,Kvikksølv,0.01,mg/kg,,True,0.01,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8800,Ni,Nikkel,120.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8800,Pb,Bly,9.5,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8800,Zn,Sink,87.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8800,PCB7,Sum PCB7,0.007,mg/kg,,True,0.007,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8800,BaP,Benso(a)pyren^,0.01,mg/kg,,True,0.01,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8800,PAH16,Sum PAH-16,0.16,mg/kg,,True,0.16,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8800,Benzen,Benzen,0.22,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8800,Toluen,Toluen*,0.1,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8800,Etylbenzen,Etylbenzen *,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8800,Xylen,Xylener *,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8800,Alifater C8-C10,Alifater >C8-C10,2.0,mg/kg,,True,2.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8800,Alifater C10-C12,Alifater >C10-C12,5.0,mg/kg,,True,5.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8800,Alifater C12-C35,Sum alifater > C12-C35,16.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8850,As,Arsen,6.5,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8850,Cd,Kadmium,0.12,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8850,Cr,Krom,85.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8850,Cu,Kopper,26.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8850,Hg,Kvikksølv,0.01,mg/kg,,True,0.01,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8850,Ni,Nikkel,100.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8850,Pb,Bly,7.7,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8850,Zn,Sink,62.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8850,PCB7,Sum PCB7,0.007,mg/kg,,True,0.007,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8850,BaP,Benso(a)pyren^,0.01,mg/kg,,True,0.01,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8850,PAH16,Sum PAH-16,0.16,mg/kg,,True,0.16,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8850,Benzen,Benzen,0.13,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8850,Toluen,Toluen*,0.071,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8850,Etylbenzen,Etylbenzen *,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8850,Xylen,Xylener *,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8850,Alifater C8-C10,Alifater >C8-C10,2.0,mg/kg,,True,2.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8850,Alifater C10-C12,Alifater >C10-C12,5.0,mg/kg,,True,5.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8850,Alifater C12-C35,Sum alifater > C12-C35,26.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8900,As,Arsen,5.5,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8900,Cd,Kadmium,0.15,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8900,Cr,Krom,75.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8900,Cu,Kopper,22.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8900,Hg,Kvikksølv,0.01,mg/kg,,True,0.01,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8900,Ni,Nikkel,110.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8900,Pb,Bly,13.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8900,Zn,Sink,58.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8900,PCB7,Sum PCB7,0.007,mg/kg,,True,0.007,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8900,BaP,Benso(a)pyren^,0.01,mg/kg,,True,0.01,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8900,PAH16,Sum PAH-16,0.21,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8900,Benzen,Benzen,0.19,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8900,Toluen,Toluen*,0.11,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8900,Etylbenzen,Etylbenzen *,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8900,Xylen,Xylener *,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8900,Alifater C8-C10,Alifater >C8-C10,2.0,mg/kg,,True,2.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8900,Alifater C10-C12,Alifater >C10-C12,5.0,mg/kg,,True,5.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8900,Alifater C12-C35,Sum alifater > C12-C35,27.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-1,As,Arsen,6.5,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-1,Cd,Kadmium,0.11,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-1,Cr,Krom,72.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-1,Cu,Kopper,31.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-1,Hg,Kvikksølv,0.01,mg/kg,,True,0.01,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-1,Ni,Nikkel,100.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-1,Pb,Bly,9.4,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-1,Zn,Sink,49.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-1,PCB7,Sum PCB7,0.007,mg/kg,,True,0.007,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-1,BaP,Benso(a)pyren^,0.01,mg/kg,,True,0.01,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-1,PAH16,Sum PAH-16,0.058,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-1,Benzen,Benzen,0.22,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-1,Toluen,Toluen*,0.16,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-1,Etylbenzen,Etylbenzen *,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-1,Xylen,Xylener *,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-1,Alifater C8-C10,Alifater >C8-C10,2.0,mg/kg,,True,2.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-1,Alifater C10-C12,Alifater >C10-C12,5.0,mg/kg,,True,5.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-1,Alifater C12-C35,Sum alifater > C12-C35,97.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-2,As,Arsen,7.8,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-2,Cd,Kadmium,0.02,mg/kg,,True,0.02,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-2,Cr,Krom,90.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-2,Cu,Kopper,28.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-2,Hg,Kvikksølv,0.018,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-2,Ni,Nikkel,120.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-2,Pb,Bly,16.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-2,Zn,Sink,84.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-2,PCB7,Sum PCB7,0.007,mg/kg,,True,0.007,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-2,BaP,Benso(a)pyren^,0.01,mg/kg,,True,0.01,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-2,PAH16,Sum PAH-16,0.051,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-2,Benzen,Benzen,0.05,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-2,Toluen,Toluen*,0.062,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-2,Etylbenzen,Etylbenzen *,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-2,Xylen,Xylener *,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-2,Alifater C8-C10,Alifater >C8-C10,2.0,mg/kg,,True,2.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-2,Alifater C10-C12,Alifater >C10-C12,5.0,mg/kg,,True,5.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-2,Alifater C12-C35,Sum alifater > C12-C35,10.0,mg/kg,,True,10.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HTV-grøft_P7650-7700-3,As,Arsen,4.8,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
